30.0,1,1263.0,15300.0,1,0.0
60.0,1,2289.0,18342.0,1,0.0
30.0,-1,2276.0,18274.0,1,0.0
35.0,1,1530.0,16393.5,2,1.0
37.888888888888886,-1,2599.0,19799.0,9,1.25
45.0,1,1845.0,16943.0,1,0.0
41.0,1,602.5,13823.0,2,2.0
30.0,-1,912.0,14354.0,1,0.0
50.5,1,1890.25,17110.25,4,1.3333333333333333
25.0,1,1934.0,17173.0,1,0.0
40.333333333333336,-1,2562.3333333333335,19568.333333333332,3,1.0
25.0,-1,771.0,14009.0,2,0.0
30.0,1,21.0,10713.0,1,0.0
25.0,-1,934.0,14392.0,1,0.0
37.2,1,2391.8,18378.4,5,2.0
44.0,1,1202.0,15197.5,6,1.4
50.0,1,886.0,14314.0,1,0.0
50.0,1,1930.5,19480.0,2,1.0
25.0,-1,2530.0,19381.0,1,0.0
30.0,-1,55.0,11067.0,1,0.0
40.0,1,993.0,14548.0,1,0.0
44.5,-1,1374.0,15209.0,2,5.0
25.0,-1,1205.5,15283.5,2,1.0
30.0,-1,552.0,13486.0,1,0.0
50.0,1,790.0,14095.0,1,0.0
35.0,1,1670.0,16447.0,1,0.0
40.0,-1,1302.0,15427.0,1,0.0
30.0,-1,2478.0,19169.0,1,0.0
30.0,1,2429.0,18993.0,1,0.0
45.0,1,2647.0,19901.0,1,0.0
45.0,1,342.5,12883.5,2,1.0
35.5,1,2340.5,19913.0,2,5.0
30.0,-1,949.0,14430.0,1,0.0
45.0,1,2763.0,20820.0,1,0.0
45.0,1,326.0,12720.0,1,0.0
55.0,1,2537.0,19427.0,1,0.0
45.0,1,1475.0,16076.5,2,1.0
50.0,1,375.0,12930.0,1,0.0
40.0,1,1005.0,14583.0,1,0.0
44.5,1,522.5,13550.0,2,3.0
36.0,-1,1999.5,17295.0,2,2.0
35.0,1,182.0,12130.0,1,0.0
35.0,1,782.0,14082.0,1,0.0
40.0,1,1399.0,15746.0,1,0.0
44.666666666666664,1,2077.0,17680.333333333332,3,1.0
43.0,1,1325.0,15504.0,2,2.0
20.0,1,2697.0,20278.0,1,0.0
30.0,1,2049.0,17499.0,1,0.0
35.0,1,367.0,12888.0,1,0.0
35.0,1,641.0,13757.5,2,1.0
52.5,1,2597.5,20622.0,2,1.0
40.0,1,221.0,12342.0,1,0.0
49.0,1,3051.5,21495.5,2,2.0
45.0,-1,1954.0,17225.0,1,0.0
39.5,1,21.0,10404.5,2,5.0
40.0,1,649.0,13740.0,1,0.0
36.0,1,1591.0,16008.0,2,4.0
55.0,-1,1388.0,15715.0,1,0.0
40.0,-1,1191.0,15115.0,1,0.0
25.0,-1,2205.0,17994.0,1,0.0
45.0,-1,2933.0,22693.0,1,0.0
45.0,1,908.0,14345.0,1,0.0
38.4,-1,1755.2,16657.4,5,2.25
44.5,1,337.5,12809.0,2,2.0
35.0,-1,758.0,14029.0,1,0.0
36.8,-1,592.2,13956.6,5,2.75
45.333333333333336,1,1855.3333333333333,16998.333333333332,3,1.0
42.833333333333336,1,1028.0,14804.166666666666,6,2.4
45.0,1,56.0,11069.0,1,0.0
54.0,1,1557.4,16047.6,5,1.5
15.0,1,842.0,14220.0,1,0.0
40.0,1,2401.0,18882.0,1,0.0
40.0,1,1259.0,15294.0,1,0.0
43.666666666666664,-1,1909.3333333333333,16783.0,3,2.5
20.0,-1,2789.0,20974.0,1,0.0
35.0,1,942.0,14402.0,1,0.0
25.0,-1,472.0,13258.0,1,0.0
40.0,-1,2256.0,18199.0,1,0.0
50.0,1,1613.0,16291.0,1,0.0
30.0,1,2291.0,18344.0,1,0.0
50.0,1,126.0,11787.0,1,0.0
40.0,1,2226.0,18085.0,1,0.0
35.0,1,238.0,12407.0,1,0.0
65.0,1,2743.0,20638.0,1,0.0
35.0,1,813.0,14151.0,1,0.0
40.0,1,1753.0,16679.0,1,0.0
19.0,1,3235.0,21453.5,2,3.0
35.0,-1,1173.0,15061.0,1,0.0
35.0,1,1884.0,17040.0,1,0.0
34.5,1,1372.5,14343.5,2,3.0
35.0,1,2327.0,18498.0,1,0.0
33.25,1,1674.0,17287.0,4,4.0
40.0,1,1877.0,17019.0,1,0.0
43.0,1,1424.4285714285713,15795.0,7,1.1666666666666667
25.0,-1,2921.0,22497.0,1,0.0
40.0,1,1.0,8696.0,1,0.0
55.0,1,1842.0,16925.0,1,0.0
34.4,1,1145.0,15501.8,5,2.25
30.0,1,1514.0,16033.0,1,0.0
35.0,-1,1660.0,16430.0,1,0.0
30.0,-1,2855.0,21699.0,1,0.0
45.0,1,1763.0,16711.0,1,0.0
35.0,1,1203.0,15134.0,1,0.0
30.0,1,1596.0,16237.0,1,0.0
50.0,1,743.6666666666666,14186.333333333334,3,1.0
45.0,1,2469.0,19116.0,1,0.0
49.5,1,2533.0,18143.0,2,4.0
30.0,1,1521.0,16056.0,1,0.0
30.0,1,1370.5,15284.0,2,3.0
40.0,1,2032.0,17638.5,2,1.0
45.0,-1,2766.0,20831.0,1,0.0
25.0,-1,1851.0,17050.0,2,1.0
30.0,-1,1315.0,15470.0,1,0.0
35.0,1,316.0,12667.0,1,0.0
55.0,1,1406.0,15769.0,1,0.0
25.0,-1,1393.0,15726.0,1,0.0
45.0,1,174.0,12067.0,1,0.0
35.0,1,1029.0,14671.0,1,0.0
30.0,1,284.0,12582.0,1,0.0
40.0,1,1899.0,17076.0,1,0.0
40.0,-1,1031.0,14682.0,1,0.0
15.0,-1,1773.0,16739.0,1,0.0
41.8,1,467.0,13518.0,5,2.5
30.0,-1,849.0,14230.0,1,0.0
